timestamp;hashtag;trackterm;count
1572203640000;#impeachdonaldtrumpnow;trump;21
1572209159000;#impeachmenttaskforcerises;trump;5
1572215040000;#impeachtrumpdestroying;trump;2
1572208473000;#impeachtrumpnow;trump;20
1572214227000;#impeachtrumppencebarrpompeo;trump;5
1572207511000;#islamicstate;trump;4
1572212209000;#jackwhite;sanders;9
1572204103000;#jamescomey;trump;3
1572206102000;#kentucky;election2020;19
1572206110000;#kysen;election2020;14
1572211646000;#larem;election2020;30
1572209975000;#liberalhypocrisy;trump;3
1572210750000;#liberallogic;trump;3
1572204578000;#lulaassassino;trump;2
1572212376000;#lyingtoamericans;trump;3
1572208437000;#macronie;election2020;3
1572208397000;#madina;election2020;2
1572208713000;#maga2020;trump;24
1572204475000;#mediabias;sanders;2
1572212005000;#medicareforall;election2020;15
1572205248000;#mundo;trump;15
1572212748000;#myberniestory;sanders;2
1572208263000;#natesilver;trump;2
1572206634000;#nationals;trump;2
1572216340000;#nats;election2020;7
1572211604000;#neverbiden;trump;2
1572203842000;#nevertrumper;trump;3
1572206914000;#newpoll;trump;2
1572216248000;#nhforbernie;sanders;3
1572209918000;#nomiddleground;trump;5
1572204494000;#not;trump;6
1572215742000;#oann;sanders;12
1572205588000;#onepartyrule;trump;3
1572209302000;#patriots;trump;67
1572205176000;#payattentionamerica;trump;2
1572215155000;#pedowood;election2020;35
1572209504000;#petebuttigieg;biden;2
1572207985000;#pizzagate;trump;2
1572212300000;#policebrutality;sanders;2
1572203774000;#putin;election2020;2
1572214704000;#rashidaendorsesbernie;trump;2
1572215391000;#republicans;trump;8
1572205498000;#republican;trump;2
1572206509000;#resign;trump;2
1572212807000;#retweet;trump;27
1572208191000;#ripgop;trump;2
1572205152000;#russians;trump;4
1572213581000;#sadopopulism;trump;2
1572206069000;#slemani;trump;3
1572211762000;#snl;trump;13
1572205507000;#socialist;trump;2
1572205012000;#sundaythoughts;election2020;5
1572214129000;#taggngo;election2020;2
1572203838000;#tampa;trump;3
1572211710000;#tcot;trump;5
1572203633000;#tds;trump;4
1572207799000;#texascannabisadvocate;biden;4
1572211610000;#tpp;trump;2
1572215031000;#treason;trump;2
1572208601000;#trumpbetrayedkurds;trump;7
1572215237000;#trumppence2020;trump;2
1572205277000;#trumprapist;trump;2
1572205860000;#trumptraitor;trump;5
1572212571000;#trumpwarcrimes;trump;3
1572213462000;#trumpwasgolfing;trump;2
1572210972000;#tytarmy;election2020;7
1572211583000;#tytarmy;sanders;2
1572213452000;#ukrainebiden;trump;18
1572211788000;#unionsforall;sanders;8
1572206876000;#unionstrong;sanders;3
1572209184000;#update;trump;2
1572211126000;#urgent;trump;2
1572214603000;#votered;trump;4
1572216716000;#warren2020;warren;17
1572211527000;#watch;trump;242
1572212099000;#weneedsuperviralattackagainsttrumpdick;trump;2
1572207322000;#whitehouse;trump;143
